onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest		0.0
33	9	2	stimulus	2481823	0.0
42	9	3	stimulus	1855672	0.0
51	9	4	stimulus	2943871	0.0
60	9	5	stimulus	2766534	0.0
69	9	6	stimulus	2317335	0.0
78	9	7	stimulus	3085013	0.0
87	9	8	stimulus	3494278	0.0
96	9	9	stimulus	1944390	0.0
105	9	10	stimulus	2843158	0.0
114	9	11	stimulus	3760671	0.0
123	9	12	stimulus	4254680	0.0
132	9	13	stimulus	4401680	0.0
141	9	14	stimulus	4401680	142.03393
150	9	15	stimulus	3793489	0.0
159	9	16	stimulus	1664990	0.0
168	9	17	stimulus	3397947	0.0
177	9	18	stimulus	3397947	178.033344
186	9	19	stimulus	2885462	0.0
195	9	20	stimulus	2885462	196.053359
204	9	21	stimulus	4044716	0.0
213	9	22	stimulus	4154565	0.0
222	9	23	stimulus	4409515	0.0
231	9	24	stimulus	3335030	0.0
240	9	25	stimulus	4070727	0.0
249	9	26	stimulus	1877134	0.0
258	9	27	stimulus	1784675	0.0
267	9	28	stimulus	4009552	0.0
276	9	29	stimulus	7756951	0.0
285	9	30	stimulus	3359137	0.0
294	9	31	stimulus	2480855	0.0
303	9	32	stimulus	4482393	0.0
312	9	33	stimulus	3837869	0.0
321	9	34	stimulus	2226429	0.0
330	9	35	stimulus	3085219	0.0
339	9	36	stimulus	3543603	0.0
348	9	37	stimulus	2808440	0.0
357	9	38	stimulus	3642806	0.0
366	9	39	stimulus	2841315	0.0
375	9	40	stimulus	4225987	0.0
384	9	41	stimulus	4225987	385.057324
393	9	42	stimulus	1518878	0.0
402	9	43	stimulus	4419073	0.0
411	9	44	stimulus	3079230	0.0
420	9	45	stimulus	3541923	0.0
429	9	46	stimulus	2374451	0.0
438	9	47	stimulus	2374451	439.040166
447	9	48	stimulus	11978233	0.0
456	9	49	stimulus	4412416	0.0
465	9	50	stimulus	2472293	0.0
474	9	51	stimulus	2503517	0.0
483	9	52	stimulus	4113406	0.0
492	9	53	stimulus	3602883	0.0
501	9	54	stimulus	3607659	0.0
510	9	55	stimulus	7734017	0.0
519	9	56	stimulus	2068974	0.0
528	6	57	rest		0.0
