onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest		0.0
33	9	2	stimulus	1784675	0.0
42	9	3	stimulus	4272054	0.0
51	9	4	stimulus	3472535	0.0
60	9	5	stimulus	4044716	0.0
69	9	6	stimulus	1770393	0.0
78	9	7	stimulus	2814860	0.0
87	9	8	stimulus	2481823	0.0
96	9	9	stimulus	3544143	0.0
105	9	10	stimulus	3721384	0.0
114	9	11	stimulus	3646296	0.0
123	9	12	stimulus	3445777	0.0
132	9	13	stimulus	3609235	0.0
141	9	14	stimulus	3609235	0.0
150	9	15	stimulus	2084071	0.0
159	9	16	stimulus	1833805	0.0
168	9	17	stimulus	4419073	0.0
177	9	18	stimulus	2843158	0.0
186	9	19	stimulus	2800213	0.0
195	9	20	stimulus	3335030	0.0
204	9	21	stimulus	3512147	0.0
213	9	22	stimulus	3790512	0.0
222	9	23	stimulus	2480855	0.0
231	9	24	stimulus	3746005	0.0
240	9	25	stimulus	1877134	0.0
249	9	26	stimulus	4482393	0.0
258	9	27	stimulus	4376876	0.0
267	9	28	stimulus	3261776	0.0
276	9	29	stimulus	4255586	0.0
285	9	30	stimulus	1639765	0.0
294	9	31	stimulus	1639765	295.033521
303	9	32	stimulus	4313503	0.0
312	9	33	stimulus	2391049	0.0
321	9	34	stimulus	12582231	0.0
330	9	35	stimulus	3187595	0.0
339	9	36	stimulus	3187595	340.035787
348	9	37	stimulus	3541923	0.0
357	9	38	stimulus	2317335	0.0
366	9	39	stimulus	2317335	367.03014
375	9	40	stimulus	4154565	0.0
384	9	41	stimulus	2346627	0.0
393	9	42	stimulus	2055803	0.0
402	9	43	stimulus	4070727	0.0
411	9	44	stimulus	2068974	0.0
420	9	45	stimulus	1645776	0.0
429	9	46	stimulus	2445715	0.0
438	9	47	stimulus	4146614	0.0
447	9	48	stimulus	2508213	0.0
456	9	49	stimulus	3209910	0.0
465	9	50	stimulus	3760671	0.0
474	9	51	stimulus	4086273	0.0
483	9	52	stimulus	1944390	0.0
492	9	53	stimulus	3496296	0.0
501	9	54	stimulus	2692877	0.0
510	9	55	stimulus	2233338	0.0
519	9	56	stimulus	2233338	520.0440639999999
528	6	57	rest		0.0
