onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest		0.0
33	9	2	stimulus	3792782	0.0
42	9	3	stimulus	4477387	0.0
51	9	4	stimulus	4587559	0.0
60	9	5	stimulus	3623556	0.0
69	9	6	stimulus	3623556	70.033887
78	9	7	stimulus	3467796	0.0
87	9	8	stimulus	3602883	0.0
96	9	9	stimulus	1855672	0.0
105	9	10	stimulus	2799175	0.0
114	9	11	stimulus	3085219	0.0
123	9	12	stimulus	4233124	0.0
132	9	13	stimulus	4233124	133.043518
141	9	14	stimulus	2943871	0.0
150	9	15	stimulus	3079230	0.0
159	9	16	stimulus	1704323	0.0
168	9	17	stimulus	3607659	0.0
177	9	18	stimulus	12596148	0.0
186	9	19	stimulus	1772222	0.0
195	9	20	stimulus	4591713	0.0
204	9	21	stimulus	4591713	205.0403
213	9	22	stimulus	2472293	0.0
222	9	23	stimulus	4320973	0.0
231	9	24	stimulus	2503517	0.0
240	9	25	stimulus	4254680	0.0
249	9	26	stimulus	2226429	0.0
258	9	27	stimulus	3924679	0.0
267	9	28	stimulus	3924679	268.033022
276	9	29	stimulus	2054036	0.0
285	9	30	stimulus	4225987	0.0
294	9	31	stimulus	3494278	0.0
303	9	32	stimulus	4197391	0.0
312	9	33	stimulus	1768244	0.0
321	9	34	stimulus	3918737	0.0
330	9	35	stimulus	4409515	0.0
339	9	36	stimulus	7758680	0.0
348	9	37	stimulus	3612010	0.0
357	9	38	stimulus	2841315	0.0
366	9	39	stimulus	2802215	0.0
375	9	40	stimulus	2374451	0.0
384	9	41	stimulus	3085013	0.0
393	9	42	stimulus	3063599	0.0
402	9	43	stimulus	1787835	0.0
411	9	44	stimulus	4442441	0.0
420	9	45	stimulus	3038480	0.0
429	9	46	stimulus	7756951	0.0
438	9	47	stimulus	3397947	0.0
447	9	48	stimulus	4009552	0.0
456	9	49	stimulus	3543603	0.0
465	9	50	stimulus	2974003	0.0
474	9	51	stimulus	2439033	0.0
483	9	52	stimulus	2439033	484.039635
492	9	53	stimulus	4090263	0.0
501	9	54	stimulus	3642806	0.0
510	9	55	stimulus	3793489	0.0
519	9	56	stimulus	3425413	0.0
528	6	57	rest		0.0
