onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest		0.0
33	9	2	stimulus	12596148	0.0
42	9	3	stimulus	4313503	0.0
51	9	4	stimulus	3924679	0.0
60	9	5	stimulus	3483823	0.0
69	9	6	stimulus	4587559	0.0
78	9	7	stimulus	2802215	0.0
87	9	8	stimulus	4225987	0.0
96	9	9	stimulus	4225987	97.03303199999999
105	9	10	stimulus	3743279	0.0
114	9	11	stimulus	2508213	0.0
123	9	12	stimulus	3359137	0.0
132	9	13	stimulus	3445777	0.0
141	9	14	stimulus	3038480	0.0
150	9	15	stimulus	4401680	0.0
159	9	16	stimulus	4180888	0.0
168	9	17	stimulus	12582231	0.0
177	9	18	stimulus	3397947	0.0
186	9	19	stimulus	2769748	0.0
195	9	20	stimulus	2769748	196.040863
204	9	21	stimulus	4555897	0.0
213	9	22	stimulus	3543603	0.0
222	9	23	stimulus	2090827	0.0
231	9	24	stimulus	3394916	0.0
240	9	25	stimulus	3255030	0.0
249	9	26	stimulus	2503517	0.0
258	9	27	stimulus	4442312	0.0
267	9	28	stimulus	3918737	0.0
276	9	29	stimulus	2445715	0.0
285	9	30	stimulus	2445715	286.04524100000003
294	9	31	stimulus	3950228	0.0
303	9	32	stimulus	3079230	0.0
312	9	33	stimulus	4090263	0.0
321	9	34	stimulus	3425413	0.0
330	9	35	stimulus	4070727	0.0
339	9	36	stimulus	4070727	340.03427
348	9	37	stimulus	3085219	0.0
357	9	38	stimulus	3646296	0.0
366	9	39	stimulus	3642806	0.0
375	9	40	stimulus	4482393	0.0
384	9	41	stimulus	2943871	0.0
393	9	42	stimulus	2055803	0.0
402	9	43	stimulus	4086273	0.0
411	9	44	stimulus	4154565	0.0
420	9	45	stimulus	3982430	0.0
429	9	46	stimulus	1645776	0.0
438	9	47	stimulus	1963571	0.0
447	9	48	stimulus	3345487	0.0
456	9	49	stimulus	2131653	0.0
465	9	50	stimulus	11978233	0.0
474	9	51	stimulus	7734017	0.0
483	9	52	stimulus	1518878	0.0
492	9	53	stimulus	3335030	0.0
501	9	54	stimulus	3335030	502.035325
510	9	55	stimulus	2841315	0.0
519	9	56	stimulus	3494278	0.0
528	6	57	rest		0.0
